52,7508279.8550,4696772.3930,605.6570,PUSET-F
59,7508321.3410,4696762.4700,606.1600,PUSET-F
183,7508326.9100,4696783.9420,605.7370,PUSET-F
234,7508330.2990,4696817.4400,605.6320,PUSET-F
241,7508321.2770,4696820.6810,605.4800,PUSET-F
302,7508347.4590,4696755.4470,606.3830,PUSET-F
