1	7508356.17	4696756.126
2	7508354.499	4696750.361
3	7508339.964	4696754.18
4	7508334.475	4696735.237
5	7508348.849	4696730.96
6	7508343.075	4696711.552
7	7508276.617	4696722.951
8	7508285.847	4696768.404
9	7508212.93	4696787.471
10	7508212.93	4696793.673
11	7508259.59	4696781.473
12	7508270.38	4696836.459
13	7508313.783	4696824.107
14	7508302.842	4696770.141
15	7508281.807	4696775.664
16	7508359.635	4696808.98
17	7508352.944	4696789.074
18	7508367.048	4696784.338
7564	7508244.611	4696836.326
7566	7508225.342	4696846.137
7567	7508220.91	4696845.627
7577	7508215.238	4696734.24
8267	7508282.824	4696586.169
8268	7508294.355	4696610.328
8269	7508302.946	4696636.177
8270	7508314.897	4696663.246
8271	7508324.647	4696675.795
8272	7508341.828	4696703.513
8273	7508342.418	4696709.343
8274	7508349.879	4696734.422
8275	7508360.2	4696770.031
8276	7508376.181	4696803.419
10385	7508321.191	4696821.902
10386	7508277.532	4696834.894
10387	7508256.462	4696839.505
10388	7508311.45	4696772.123
10389	7508300.458	4696717.315
10390	7508265.294	4696587.62
10391	7508269.695	4696615.559
10392	7508259.395	4696616.03
10393	7508259.205	4696614.9
10394	7508250.135	4696614.151
10395	7508243.875	4696612.831
10396	7508268.398	4696724.717
10397	7508215.569	4696763.219
10398	7508212.93	4696782.929
10399	7508212.93	4696793.808
10400	7508216.721	4696814.178
11723	7508243.184	4696589.372
18370	7508234.813	4696834.987
